(12, 12, False),1.000000
(11, 11, False),0.995475
(10, 10, False),0.990950
(9, 9, False),0.986425
(8, 8, False),0.981900
(7, 7, False),0.977376
(11, 12, True),0.972851
(10, 12, True),0.969834
(6, 6, False),0.966817
(9, 12, True),0.962293
(11, 12, False),0.959276
(8, 12, True),0.950226
(10, 11, True),0.947210
(10, 12, False),0.944193
(9, 11, True),0.935143
(5, 5, False),0.932127
(9, 12, False),0.927602
(8, 11, True),0.918552
(7, 12, True),0.915535
(8, 12, False),0.912519
(10, 11, False),0.903469
(9, 10, True),0.894419
(6, 12, True),0.891403
(8, 10, True),0.888386
(9, 11, False),0.885370
(5, 12, True),0.876320
(7, 11, True),0.873303
(4, 4, False),0.870287
(3, 12, True),0.865762
(8, 9, True),0.862745
(8, 11, False),0.859729
(7, 12, False),0.850679
(4, 12, True),0.841629
(9, 10, False),0.838612
(2, 12, True),0.829563
(6, 12, False),0.826546
(7, 10, True),0.817496
(6, 11, True),0.814480
(1, 12, True),0.811463
(8, 10, False),0.808446
(5, 12, False),0.799397
(5, 11, True),0.790347
(7, 9, True),0.787330
(0, 12, True),0.784314
(7, 11, False),0.781297
(3, 3, False),0.772247
(8, 9, False),0.767722
(3, 12, False),0.758673
(7, 8, True),0.749623
(4, 11, True),0.746606
(6, 10, True),0.743590
(4, 12, False),0.740573
(3, 11, True),0.731523
(2, 12, False),0.728507
(7, 10, False),0.719457
(6, 9, True),0.710407
(6, 11, False),0.707391
(2, 11, True),0.698341
(1, 12, False),0.695324
(6, 8, True),0.686275
(5, 10, True),0.683258
(7, 9, False),0.680241
(5, 11, False),0.671192
(1, 11, True),0.662142
(6, 7, True),0.659125
(4, 10, True),0.656109
(0, 12, False),0.653092
(2, 2, False),0.644042
(7, 8, False),0.639517
(5, 9, True),0.630468
(6, 10, False),0.627451
(4, 11, False),0.618401
(0, 11, True),0.609351
(3, 10, True),0.606335
(5, 8, True),0.603318
(3, 11, False),0.600302
(2, 10, True),0.591252
(5, 7, True),0.588235
(6, 9, False),0.585219
(5, 6, True),0.576169
(4, 9, True),0.573152
(6, 8, False),0.570136
(1, 10, True),0.561086
(2, 11, False),0.558069
(5, 10, False),0.549020
(3, 9, True),0.539970
(4, 8, True),0.536953
(6, 7, False),0.533937
(0, 10, True),0.524887
(1, 1, False),0.521870
(4, 10, False),0.517345
(1, 11, False),0.508296
(4, 7, True),0.499246
(2, 9, True),0.496229
(4, 6, True),0.493213
(5, 9, False),0.490196
(4, 5, True),0.481146
(3, 10, False),0.478130
(0, 11, False),0.469080
(5, 8, False),0.460030
(1, 9, True),0.450980
(3, 8, True),0.447964
(5, 7, False),0.444947
(2, 10, False),0.435897
(0, 9, True),0.426848
(5, 6, False),0.423831
(3, 7, True),0.414781
(3, 4, True),0.411765
(2, 8, True),0.408748
(3, 5, True),0.405732
(3, 6, True),0.402715
(4, 9, False),0.399698
(1, 10, False),0.390649
(1, 8, True),0.381599
(0, 0, False),0.378582
(3, 9, False),0.374057
(4, 8, False),0.365008
(2, 3, True),0.355958
(0, 10, False),0.352941
(0, 8, True),0.343891
(4, 7, False),0.340875
(2, 4, True),0.331825
(4, 6, False),0.328808
(4, 5, False),0.319759
(2, 7, True),0.310709
(2, 9, False),0.307692
(2, 5, True),0.298643
(2, 6, True),0.295626
(1, 7, True),0.292609
(1, 9, False),0.289593
(3, 8, False),0.280543
(1, 3, True),0.271493
(0, 7, True),0.268477
(3, 4, False),0.265460
(3, 7, False),0.256410
(0, 9, False),0.247360
(1, 4, True),0.238311
(3, 5, False),0.235294
(2, 8, False),0.226244
(3, 6, False),0.217195
(1, 5, True),0.208145
(1, 6, True),0.205128
(1, 2, True),0.202112
(0, 6, True),0.199095
(1, 8, False),0.196078
(2, 3, False),0.187029
(0, 3, True),0.177979
(2, 4, False),0.174962
(0, 8, False),0.165913
(0, 4, True),0.156863
(2, 7, False),0.153846
(2, 5, False),0.144796
(0, 2, True),0.135747
(0, 5, True),0.132730
(2, 6, False),0.129713
(1, 7, False),0.120664
(0, 1, True),0.111614
(1, 3, False),0.108597
(0, 7, False),0.099548
(1, 4, False),0.090498
(1, 2, False),0.081448
(1, 5, False),0.072398
(1, 6, False),0.063348
(0, 6, False),0.054299
(0, 3, False),0.045249
(0, 4, False),0.036199
(0, 2, False),0.027149
(0, 5, False),0.018100
(0, 1, False),0.009050
